name,calories,protein,fat,carbs,unit_of_measure,qty
"Oats, whole grain, steel cut",379.2,12.5,5.8,69.8,oz,3.5
"Oats, whole grain, rolled, old fashioned",378.9,13.5,5.9,68.7,oz,3.5
"Buckwheat, whole grain",331.6,11.1,3.0,71.1,oz,3.5
"Bulgur, dry, raw",349.3,11.8,2.4,75.9,oz,3.5
"Chia seeds, dry, raw",490.1,17.0,32.9,38.3,oz,3.5
"Corn flour, masa harina, white or yellow, dry, raw",366.0,7.6,4.3,76.7,oz,3.5
"Einkorn, grain, dry, raw",345.7,15.1,3.8,68.7,oz,3.5
"Farro, pearled, dry, raw",344.0,12.6,3.1,72.1,oz,3.5
"Flour, 00",365.6,11.4,1.5,74.4,oz,3.5
"Flour, amaranth",378.0,13.2,6.2,68.8,oz,3.5
"Flour, barley",357.2,8.7,2.5,77.4,oz,3.5
"Flour, buckwheat",334.3,8.9,2.5,75.0,oz,3.5
"Flour, oat, whole grain",386.4,13.2,6.3,69.9,oz,3.5
"Flour, quinoa",378.4,11.9,6.6,69.5,oz,3.5
"Flour, rye",351.0,8.4,1.9,77.2,oz,3.5
"Flour, semolina, coarse and semi-coarse",365.0,11.7,1.6,73.8,oz,3.5
"Flour, semolina, fine",366.0,13.3,1.8,72.0,oz,3.5
"Flour, sorghum",363.9,8.3,3.6,77.4,oz,3.5
"Flour, spelt, whole grain",340.6,14.5,2.5,70.7,oz,3.5
"Fonio, grain, dry, raw",376.9,7.2,1.7,81.3,oz,3.5
"Khorasan, grain, dry, raw",347.8,14.8,2.8,71.8,oz,3.5
"Millet, whole grain",380.6,10.0,4.2,74.4,oz,3.5
"Oats, whole grain, rolled, old fashioned",378.9,13.5,5.9,68.7,oz,3.5
"Oats, whole grain, steel cut",379.2,12.5,5.8,69.8,oz,3.5
"Rice, black, unenriched, raw",360.5,7.6,3.4,77.2,oz,3.5
"Rice, brown, long grain, unenriched, raw",368.4,7.3,3.3,76.7,oz,3.5
"Rice, red, unenriched, dry, raw",360.0,8.6,3.4,76.2,oz,3.5
"Rice, white, long grain, unenriched, raw",369.6,7.0,1.0,80.3,oz,3.5
"Sorghum bran, white, unenriched, dry, raw",364.5,11.2,9.3,68.7,oz,3.5
"Sorghum flour, white, pearled, unenriched, dry, raw",349.6,10.2,3.2,73.5,oz,3.5
"Sorghum grain, white, pearled, unenriched, dry, raw",338.4,10.2,3.3,74.9,oz,3.5
"Sorghum, whole grain, white, dry, raw",341.0,10.1,4.2,73.6,oz,3.5
"Wild rice, dry, raw",358.6,12.8,1.7,75.7,oz,3.5
"Flour, potato",352.7,8.1,1.0,79.9,oz,3.5
"Potatoes, gold, without skin, raw",71.6,1.8,0.3,16.0,oz,3.5
"Potatoes, red, without skin, raw",73.4,2.1,0.2,16.3,oz,3.5
"Potatoes, russet, without skin, raw",81.0,2.3,0.4,17.8,oz,3.5
"Sweet potatoes, orange flesh, without skin, raw",77.4,1.6,0.4,17.3,oz,3.5
"Flour, potato",352.7,8.1,1.0,79.9,oz,3.5
"Potatoes, gold, without skin, raw",71.6,1.8,0.3,16.0,oz,3.5
"Potatoes, red, without skin, raw",73.4,2.1,0.2,16.3,oz,3.5
"Potatoes, russet, without skin, raw",81.0,2.3,0.4,17.8,oz,3.5
"Sweet potatoes, orange flesh, without skin, raw",77.4,1.6,0.4,17.3,oz,3.5
"Corn, sweet, yellow and white kernels,  fresh, raw",72.9,2.8,1.6,14.7,oz,3.5
"Corn flour, masa harina, white or yellow, dry, raw",366.0,7.6,4.3,76.7,oz,3.5
"Flour, barley",357.2,8.7,2.5,77.4,oz,3.5
"Bulgur, dry, raw",349.3,11.8,2.4,75.9,oz,3.5
"Oats, whole grain, rolled, old fashioned",378.9,13.5,5.9,68.7,oz,3.5
"Carrots, baby, raw",38.3,0.8,0.1,9.1,oz,3.5
"Carrots, mature, raw",45.0,0.9,0.4,10.3,oz,3.5
"Spinach, baby",20.7,2.9,0.6,2.4,oz,3.5
"Spinach, mature",21.6,2.9,0.6,2.6,oz,3.5
"Peppers, bell, green, raw",19.7,0.7,0.1,4.8,oz,3.5
"Peppers, bell, orange, raw",27.4,0.9,0.2,6.7,oz,3.5
"Peppers, bell, red, raw",27.0,0.9,0.1,6.7,oz,3.5
"Peppers, bell, yellow, raw",26.6,0.8,0.1,6.6,oz,3.5
"Cucumber, with peel, raw",13.9,0.6,0.2,3.0,oz,3.5
"Squash, summer, green, zucchini, includes skin, raw",16,1.0,0.2,3.3,oz,3.5
"Cauliflower, raw",22.9,1.6,0.2,4.7,oz,3.5
"Tomato, roma",19.0,0.7,0.4,3.8,oz,3.5
"Tomato, puree, canned",34.8,1.6,0.3,8.0,oz,3.5
"Tomatoes, crushed, canned",32.3,1.4,0.4,7.1,oz,3.5
"Tomato, sauce, canned, with salt added",29.1,1.4,0.4,6.3,oz,3.5
"Tomato, paste, canned, without salt added",88.5,4.2,0.7,20.2,oz,3.5
"Tomatoes, whole, canned, solids and liquids, with salt added",19.1,0.9,0.2,4.3,oz,3.5
"Tomato juice, with added ingredients, from concentrate, shelf stable",19.9,0.9,0.3,4.3,oz,3.5
"Lettuce, iceberg, raw",14.5,0.7,0.1,3.4,oz,3.5
"Lettuce, leaf, green, raw",18.5,1.1,0.2,4.1,oz,3.5
"Lettuce, leaf, red, raw",14.7,0.9,0.1,3.3,oz,3.5
